street,aprt_level,aprt_living_area,aprt_pricepermether,aprt_prices,aprt_rooms,aprt_total_area,aprt_total_levels,aprt_year
Рокосовського,25,0,2162.0,1200000.0,0,555,25,2001
Шовковична,11,15.3,1140.0,42900.0,1,37.62,26,0
Крушельницької,6,31,925.0,86000.0,3,93,8,2015
Новопольова,5,22,2818.0,155000.0,1,55,19,0
Визволителів,15,0,4412.0,450000.0,3,102,30,0
Сонячна,0,53.22,1574.0,148000.0,3,94,0,0
Сікорського,4,18,1220.0,50000.0,1,41,5,0
Радченка,5,60,1045.0,81000.0,3,77.5,26,0
Бульварно-Кудрявська,5,53.21,1830.0,161003.0,3,87.98,23,2013
Кайсарова,20,28.74,933.0,61500.0,2,65.91,26,0
Дніпровська,13,30,1164.0,78000.0,2,67,24,0
Перова,7,71.2,2038.0,259266.0,3,127.24,9,0
Глушкова,5,15,1113.0,34500.0,1,31,9,1982
Рокосовського,21,40.24,1402.0,122000.0,3,87,22,0
Саперно-Слобідська,21,0,1798.0,147420.0,2,82,25,0
Миколи,1,20,1460.0,73000.0,2,50,9,1983
Миколи,11,16,1100.0,44000.0,1,40,26,0
Антоновича,2,48,1829.0,128000.0,3,70,4,0
Богданівська,2,31,1480.0,111000.0,1,75,10,2013
No street name,9,53,760.0,73000.0,3,96,20,2014
Сверстюка,15,27.2,1589.0,89000.0,1,56,20,2013
Ревуцького,14,0,1488.0,64000.0,1,43,25,2019
Ованеса,0,0,3151.0,375000.0,3,119,0,0
Саперне,4,29,2279.0,98000.0,1,43,4,1905
Григоренка,8,12.3,1455.0,32000.0,1,22,9,0
Гречка,16,57,1190.0,125000.0,3,105,24,2012
Богатирська,3,30,1398.0,61500.0,2,44,5,1959
Білоруська,16,33,1522.0,105000.0,2,69,25,2016
Регенераторна,0,0,0,65557.83783783784,1,45,0,0
Вишняківська,9,45,937.0,89000.0,3,95,13,0
Гонгадзе,9,16,982.0,27500.0,1,28,9,1973
Правди,5,18,1175.0,47000.0,1,40,25,0
Кольцова,3,101,2043.0,329000.0,3,161,17,2009
Воскресенська,17,0,710.0,71000.0,3,100,35,0
Руставелі,0,0,0,50957.59459459459,2,65,0,0
Голосіївський,10,150,4601.0,980000.0,5,213,13,2003
Комбінатна,6,35,1097.0,68000.0,2,62,9,1971
Салютна,9,27,1127.0,71000.0,2,63,24,0
Маланюка,14,0,2111.0,190000.0,2,90,16,1983
Ромоданова,0,0,0,98429.2972972973,1,39,0,0
Саперне,21,37,1575.0,115000.0,2,73,25,2015
Сім’ї,10,19,1324.0,45000.0,1,34,16,1982
Лабораторна,21,19,1140.0,57000.0,1,50,27,0
Драгоманова,4,27,1167.0,45500.0,2,39,5,1961
No street name,5,25,4727.0,260000.0,2,55,24,2019
Кудрявська,12,26,1379.0,80000.0,1,58,25,0
Краківська,0,0,0,57033.83783783784,1,52,0,0
Кольцова,6,50,1500.0,138000.0,3,92,26,2018
Антоновича,7,33,1544.0,105000.0,2,68,25,2016
Лариси,12,37.23,27900.0,63868.37837837838,2,84.7,26,2020
Івана,12,15,1369.0,89000.0,2,65,20,2018
Українки,19,73,2759.0,400000.0,3,145,24,2012
Тютюнника,9,32,1724.0,100000.0,2,58,17,2006
Юрія,14,43,809.0,61500.0,3,76,16,1989
Оболонський,18,18,1043.0,48000.0,1,46,24,0
Курбаса,23,62,2045.0,180000.0,2,88,25,2015
Верховинця,8,46.7,1158.0,2918.9189189189187,3,93.3,24,2014
Зарічна,21,18,1046.0,43500.0,1,41.6,24,0
Дніпровська,3,16.3,1741.0,100999.0,1,58,15,2004
Коломийський,24,0,1000.0,52000.0,1,52,25,0
Правди,19,35,2086.0,146000.0,2,70,25,2018
Каховська,4,32,1692.0,110000.0,2,65,25,2012
Бойчука,9,0,3166.0,148800.0,1,47,12,2015
Правди,3,36,975.0,77000.0,2,79,25,2018
Маккейна,5,18,1132.0,38500.0,1,34,9,1977
Перемоги,16,42.6,1020.0,100000.0,3,98,26,2012
Грушевського,4,22,1560.0,78000.0,1,50,22,2006
Срібнокільська,3,35,1071.0,75000.0,2,70,25,2015
Перемоги,1,30,1000.0,45000.0,2,45,5,1966
Урлівська,9,90,6000.0,900000.0,3,150,9,2019
Заболотного,2,32,1288.0,85000.0,2,66,22,2018
Максимовича,22,33,1009.0,65600.0,2,65,26,0
Бажана,11,73,3038.0,395000.0,3,130,28,0
Сікорського,9,0,2214.0,155000.0,2,70,10,2014
Курбаса,14,28,1400.0,84000.0,2,60,24,0
Дніпровська,4,37,936.0,73000.0,3,78,4,0
Драгомирова,10,0,1566.0,83000.0,1,53,10,2017
No street name,2,40,3846.0,250000.0,2,65,9,2018
Антонова,3,52.3,3425.0,299000.0,3,87.3,4,1879
Бучми,9,42,812.0,56000.0,3,69,10,1991
Кубанської,0,0,0,117166.97297297297,1,61,0,0
Дніпровська,0,0,3333.0,270000.0,2,81,0,0
Панельна,2,30,1018.0,58000.0,3,57,5,1961
Коновальця,16,18,1292.0,62000.0,1,48,25,2017
Богатирська,8,14,1702.0,80000.0,1,47,16,0
Оболонський,2,38,2097.0,195000.0,2,93,6,1913
Українки,0,0,0,85959.32432432432,1,49,0,0
Бориса,6,31,1842.0,122000.0,2,66.25,7,0
Правди,10,41,52688.0,102527.02702702703,3,72,15,1999
Центральна,1,50,1000.0,65000.0,3,65,5,1961
Преображенська,26,18,827.0,40500.0,1,49,26,0
Коновальця,0,0,0,31938.675675675677,1,31,0,0
Українки,6,16,1683.0,69000.0,1,41,9,0
No street name,20,0,1415.0,75000.0,2,53,22,0
Велика,12,30,2013.0,155000.0,2,77,21,2013
Липківського,15,39.7,2200.0,220000.0,2,100,25,2013
Бойчука,16,24,936.0,51500.0,2,55,25,0
Васильківська,7,32,1274.0,73900.0,2,58,16,1993
Данькевича,0,0,0,66441.81081081081,1,52,0,0
Богатирська,28,0,4487.0,1400000.0,5,312,30,2016
Українки,16,57,1080.0,93950.0,3,87,17,2018
Гречка,7,80,2724.0,395000.0,4,145,9,0
Редутна,7,15,3580.0,179000.0,1,50,23,2015
Бориса,11,64,2080.0,260000.0,2,125,17,2019
Драгомирова,6,14,1209.0,52000.0,1,43,25,0
Туполєва,11,73,3038.0,395000.0,3,130,28,0
Кондратюка,12,0,2450.0,198450.0,2,81,24,2010
Мінський,15,115,3606.0,750000.0,3,208,23,2005
Княжий,4,204,2124.0,650000.0,4,306,8,2011
Герцена,6,22,1389.0,75000.0,1,54,25,2007
