street,aprt_level,aprt_living_area,aprt_pricepermether,aprt_prices,aprt_rooms,aprt_total_area,aprt_total_levels,aprt_year
Шолуденка,24,41,1167.0,91000.0,3,78,25,0
Щекавицька,5,43,1719.0,110000.0,3,64,9,1967
Коласа,4,17,1757.0,65000.0,1,37,27,2019
No street name,15,65,2222.0,260000.0,3,117,20,2019
No street name,6,0,2778.0,125000.0,2,45,9,1965
Перемоги,9,20,1548.0,65000.0,1,42,16,2020
No street name,23,60,1374.0,158000.0,3,115,24,2012
Наумова,29,19,1536.0,80000.0,1,52.1,36,0
Перемоги,5,0,907.0,68900.0,3,76,5,1963
Велика,19,74,1461.0,168000.0,4,115,20,1995
Червоноткацька,11,17.9,1019.0,41000.0,1,40.22,25,0
Вишгородська,7,18.53,2263.0,134900.0,1,59.62,11,0
